train_data2s,s_nn2train,train_data2i,i_nn2train,train_data2r,r_nn2train,train_data2d,d_nn2train
3368234,1.0,47457,1.0,41511,1.0,1588,1.0
3367003,1.0,47961,1.0,42234,1.0,1592,1.0
3365944,1.0,48721,1.0,42524,1.0,1601,1.0
3364814,1.0,49488,1.0,42882,1.0,1606,1.0
3363263,1.0,50291,1.0,43625,1.0,1611,1.0
3361592,1.0,51153,1.0,44431,1.0,1614,1.0
3360173,1.0,51803,1.0,45198,1.0,1616,1.0
3358902,1.0,52281,1.0,45987,1.0,1620,1.0
3357578,1.0,52947,1.0,46636,1.0,1629,1.0
3356499,1.0,53692,1.0,46965,1.0,1634,1.0
3355398,1.0,54463,1.0,47289,1.0,1640,1.0
3353837,1.0,55188,1.0,48119,1.0,1646,1.0
3352342,1.0,55947,1.0,48847,1.0,1654,1.0
3351009,1.0,56560,1.0,49565,1.0,1656,1.0
3349542,1.0,57162,1.0,50426,1.0,1660,1.0
3348118,1.0,57779,1.0,51223,1.0,1670,1.0
3346869,1.0,58640,1.0,51604,1.0,1677,1.0
3345984,1.0,59185,1.0,51940,1.0,1681,1.0
3344232,1.0,60101,1.0,52768,1.0,1689,1.0
3342626,1.0,60898,1.0,53568,1.0,1698,1.0
3341209,1.0,61516,1.0,54364,1.0,1701,1.0
3340093,1.0,61839,1.0,55151,1.0,1707,1.0
3338908,1.0,62303,1.0,55855,1.0,1724,1.0
3337720,1.0,62993,1.0,56346,1.0,1731,1.0
3336669,1.0,63723,1.0,56659,1.0,1739,1.0
3335175,1.0,64413,1.0,57457,1.0,1745,1.0
3333690,1.0,65152,1.0,58196,1.0,1752,1.0
3332457,1.0,65716,1.0,58859,1.0,1758,1.0
3331394,1.0,66061,1.0,59568,1.0,1767,1.0
3330146,1.0,66618,1.0,60242,1.0,1784,1.0
3329086,1.0,67308,1.0,60605,1.0,1791,1.0
3327938,1.0,68133,1.0,60920,1.0,1799,1.0
3326418,1.0,68867,1.0,61698,1.0,1807,1.0
3325020,1.0,69584,1.0,62373,1.0,1813,1.0
3323616,1.0,70298,1.0,63059,1.0,1817,1.0
3322533,1.0,70707,1.0,63725,1.0,1825,1.0
3321338,1.0,71236,1.0,64374,1.0,1842,1.0
3319669,1.0,72390,1.0,64876,1.0,1855,1.0
3318487,1.0,73240,1.0,65204,1.0,1859,1.0
3316563,1.0,74257,1.0,66107,1.0,1863,1.0
3314820,1.0,75189,1.0,66916,1.0,1865,1.0
3313404,1.0,75864,1.0,67656,1.0,1866,1.0
3312075,1.0,76355,1.0,68488,1.0,1872,1.0
3310302,1.0,77085,1.0,69521,1.0,1882,1.0
3308603,1.0,78123,1.0,70175,1.0,1889,1.0
3307388,1.0,78966,1.0,70537,1.0,1899,1.0
3305500,1.0,79880,1.0,71507,1.0,1903,1.0
3303831,1.0,80587,1.0,72463,1.0,1909,1.0
3302250,1.0,81225,1.0,73403,1.0,1912,1.0
3301033,1.0,81608,1.0,74235,1.0,1914,1.0
3299946,1.0,81868,1.0,75055,1.0,1921,1.0
3299180,1.0,82249,1.0,75425,1.0,1936,1.0
3298368,1.0,82716,1.0,75757,1.0,1949,1.0
3296594,1.0,83588,1.0,76650,1.0,1958,1.0
3295047,1.0,84311,1.0,77461,1.0,1971,1.0
3293629,1.0,84949,1.0,78238,1.0,1974,1.0
3292507,1.0,85351,1.0,78953,1.0,1979,1.0
3291409,1.0,85813,1.0,79583,1.0,1985,1.0
3290196,1.0,86722,1.0,79878,1.0,1994,1.0
3288760,1.0,87807,1.0,80221,1.0,2002,1.0
3287647,1.0,88721,1.0,80407,1.0,2015,1.0
3285420,1.0,90017,1.0,81336,1.0,2017,1.0
3283653,1.0,90942,1.0,82174,1.0,2021,1.0
3282504,1.0,91422,1.0,82833,1.0,2031,1.0
3281146,1.0,92100,1.0,83507,1.0,2037,1.0
3279876,1.0,93012,1.0,83862,1.0,2040,1.0
3278299,1.0,94189,1.0,84256,1.0,2046,1.0
3275816,1.0,95659,1.0,85259,1.0,2056,1.0
3273744,1.0,96734,1.0,86252,1.0,2060,1.0
3271755,1.0,97638,1.0,87330,1.0,2067,1.0
3269891,1.0,98447,1.0,88380,1.0,2072,1.0
3268175,1.0,99134,1.0,89392,1.0,2089,1.0
3266508,1.0,100200,1.0,89980,1.0,2102,1.0
3264820,1.0,101366,1.0,90492,1.0,2112,1.0
3262033,1.0,102787,1.0,91844,1.0,2126,1.0
3259683,1.0,103826,1.0,93148,1.0,2133,1.0
3257439,1.0,104799,1.0,94416,1.0,2136,1.0
3255296,1.0,105740,1.0,95614,1.0,2140,1.0
3253369,1.0,106651,1.0,96616,1.0,2154,1.0
3251454,1.0,107922,1.0,97254,1.0,2160,1.0
3249589,1.0,109312,1.0,97715,1.0,2174,1.0
3246724,1.0,110828,1.0,99054,1.0,2184,1.0
3244157,1.0,112268,1.0,100171,1.0,2194,1.0
3241778,1.0,113439,1.0,101376,1.0,2197,1.0
3239388,1.0,114574,1.0,102624,1.0,2204,1.0
3236837,1.0,115943,1.0,103830,1.0,2180,1.0
3234938,1.0,117106,1.0,104547,1.0,2199,1.0
3232062,1.0,119396,1.0,105120,1.0,2212,1.0
3228709,1.0,121090,1.0,106774,1.0,2217,1.0
3225428,1.0,122812,1.0,108316,1.0,2234,1.0
3222149,1.0,124439,1.0,109963,1.0,2239,1.0
3219379,1.0,125531,1.0,111634,1.0,2246,1.0
3216760,1.0,126591,1.0,113158,1.0,2281,1.0
3214361,1.0,128152,1.0,113976,1.0,2301,1.0
3211934,1.0,129863,1.0,114679,1.0,2314,1.0
3207647,1.0,132122,1.0,116693,1.0,2328,1.0
3204154,1.0,133802,1.0,118485,1.0,2349,1.0
3200644,1.0,135372,1.0,120421,1.0,2353,1.0
3196786,1.0,137536,1.0,122100,1.0,2368,1.0
3193430,1.0,139444,1.0,123529,1.0,2387,1.0
3189681,1.0,142311,1.0,124379,1.0,2419,1.0
3185836,1.0,145465,1.0,125052,1.0,2437,1.0
3180499,1.0,148472,1.0,127362,1.0,2457,1.0
3175980,1.0,150672,1.0,129663,1.0,2475,1.0
3170561,1.0,153620,1.0,132125,1.0,2484,1.0
3164968,1.0,157096,1.0,134227,1.0,2499,1.0
3158880,1.0,160923,1.0,136457,1.0,2530,1.0
3153546,1.0,164865,1.0,137824,1.0,2555,1.0
3146702,1.0,170307,1.0,139190,1.0,2591,1.0
3138411,1.0,174954,1.0,142800,1.0,2625,1.0
3128961,1.0,180862,1.0,146311,1.0,2656,1.0
3121561,1.0,184788,1.0,149766,1.0,2675,1.0
3113064,1.0,189681,1.0,153347,1.0,2698,1.0
3104302,1.0,194570,1.0,157164,1.0,2754,1.0
3094735,1.0,201795,1.0,159467,1.0,2793,1.0
3086856,1.0,207339,1.0,161756,1.0,2839,1.0
3072654,1.0,216028,1.0,167234,1.0,2874,1.0
3059431,1.0,223581,1.0,172873,1.0,2905,1.0
